ID,delinquent,Sdelinquent,term,gender,age,FICO
1,No,0,36 months,Female,20-25,300-500
2,No,0,36 months,Female,20-25,300-500
3,No,0,36 months,Female,20-25,300-500
4,No,0,36 months,Female,20-25,300-500
5,No,0,36 months,Female,20-25,300-500
6,No,0,36 months,Female,20-25,300-500
7,No,0,36 months,Female,20-25,300-500
8,No,0,36 months,Female,20-25,300-500
9,No,0,36 months,Female,20-25,300-500
10,No,0,36 months,Female,20-25,300-500
11,No,0,36 months,Female,20-25,300-500
12,No,0,36 months,Female,20-25,300-500
13,No,0,36 months,Female,20-25,300-500
14,No,0,36 months,Female,20-25,300-500
15,No,0,36 months,Female,20-25,300-500
16,No,0,36 months,Female,20-25,300-500
17,No,0,36 months,Female,20-25,300-500
18,No,0,36 months,Female,20-25,300-500
19,No,0,36 months,Female,20-25,300-500
20,No,0,36 months,Female,20-25,300-500
21,No,0,36 months,Female,20-25,300-500
22,No,0,36 months,Female,20-25,300-500
23,No,0,36 months,Female,20-25,300-500
24,No,0,36 months,Female,20-25,300-500
25,No,0,36 months,Female,20-25,300-500
26,No,0,36 months,Female,20-25,300-500
27,No,0,36 months,Female,20-25,300-500
28,No,0,36 months,Female,20-25,300-500
29,No,0,36 months,Female,20-25,300-500
30,No,0,36 months,Female,20-25,300-500
31,No,0,36 months,Female,20-25,300-500
32,No,0,36 months,Female,20-25,300-500
33,No,0,36 months,Female,20-25,300-500
34,No,0,36 months,Female,20-25,300-500
35,No,0,36 months,Female,20-25,300-500
36,No,0,36 months,Female,20-25,300-500
37,No,0,36 months,Female,20-25,300-500
38,No,0,36 months,Female,20-25,300-500
39,No,0,36 months,Female,20-25,300-500
40,No,0,36 months,Female,20-25,300-500
41,No,0,36 months,Female,20-25,300-500
42,No,0,36 months,Female,20-25,300-500
43,No,0,36 months,Female,20-25,300-500
44,No,0,36 months,Female,20-25,300-500
45,No,0,36 months,Female,20-25,300-500
46,No,0,36 months,Female,20-25,300-500
47,No,0,36 months,Female,20-25,300-500
48,No,0,36 months,Female,20-25,300-500
49,No,0,36 months,Female,20-25,300-500
50,No,0,36 months,Female,20-25,300-500
51,No,0,36 months,Female,20-25,300-500
52,No,0,36 months,Female,20-25,300-500
53,No,0,36 months,Female,20-25,300-500
54,No,0,36 months,Female,20-25,300-500
55,No,0,36 months,Female,20-25,300-500
56,No,0,36 months,Female,20-25,300-500
57,No,0,36 months,Female,20-25,300-500
58,No,0,36 months,Female,20-25,300-500
59,No,0,36 months,Female,20-25,300-500
60,No,0,36 months,Female,20-25,300-500
61,No,0,36 months,Male,20-25,300-500
62,No,0,36 months,Male,20-25,300-500
63,No,0,36 months,Male,20-25,300-500
64,No,0,36 months,Male,20-25,300-500
65,No,0,36 months,Male,20-25,300-500
66,No,0,36 months,Male,20-25,300-500
67,No,0,36 months,Male,20-25,300-500
68,No,0,36 months,Male,20-25,300-500
69,No,0,36 months,Male,20-25,300-500
70,No,0,36 months,Male,20-25,300-500
71,No,0,36 months,Male,20-25,300-500
72,No,0,36 months,Male,20-25,300-500
73,No,0,36 months,Male,20-25,300-500
74,No,0,36 months,Male,20-25,300-500
75,No,0,36 months,Male,20-25,300-500
76,No,0,36 months,Male,20-25,300-500
77,No,0,36 months,Male,20-25,300-500
78,No,0,36 months,Male,20-25,300-500
79,No,0,36 months,Male,20-25,300-500
80,No,0,36 months,Male,20-25,300-500
81,No,0,36 months,Male,20-25,300-500
82,No,0,36 months,Male,20-25,300-500
83,No,0,36 months,Male,20-25,300-500
84,No,0,36 months,Male,20-25,300-500
85,No,0,36 months,Male,20-25,300-500
86,No,0,36 months,Male,20-25,300-500
87,No,0,36 months,Male,20-25,300-500
88,No,0,36 months,Male,20-25,300-500
89,No,0,36 months,Male,20-25,300-500
90,No,0,36 months,Male,20-25,300-500
91,No,0,36 months,Male,20-25,300-500
92,No,0,36 months,Male,20-25,300-500
93,No,0,36 months,Male,20-25,300-500
94,No,0,36 months,Male,20-25,300-500
95,No,0,36 months,Male,20-25,300-500
96,No,0,36 months,Male,20-25,300-500
97,No,0,36 months,Male,20-25,300-500
98,No,0,36 months,Male,20-25,300-500
99,No,0,36 months,Male,20-25,300-500
100,No,0,36 months,Male,20-25,300-500
101,No,0,36 months,Male,20-25,300-500
102,No,0,36 months,Male,20-25,300-500
103,No,0,36 months,Male,20-25,300-500
104,No,0,36 months,Male,20-25,300-500
105,No,0,36 months,Male,20-25,300-500
106,No,0,36 months,Male,20-25,300-500
107,No,0,36 months,Male,20-25,300-500
108,No,0,36 months,Male,20-25,300-500
109,No,0,36 months,Male,20-25,300-500
110,No,0,36 months,Male,20-25,300-500
111,No,0,36 months,Male,20-25,300-500
112,No,0,36 months,Male,20-25,300-500
113,No,0,36 months,Male,20-25,300-500
114,No,0,36 months,Male,20-25,300-500
115,No,0,36 months,Male,20-25,300-500
116,No,0,36 months,Male,20-25,300-500
117,No,0,36 months,Male,20-25,300-500
118,No,0,36 months,Male,20-25,300-500
119,No,0,36 months,Male,20-25,300-500
120,No,0,36 months,Male,20-25,300-500
121,No,0,36 months,Male,20-25,300-500
122,No,0,36 months,Male,20-25,300-500
123,No,0,36 months,Male,20-25,300-500
124,No,0,36 months,Male,20-25,300-500
125,No,0,36 months,Male,20-25,300-500
126,No,0,36 months,Male,20-25,300-500
127,No,0,36 months,Male,20-25,300-500
128,No,0,36 months,Male,20-25,300-500
129,No,0,36 months,Male,20-25,300-500
130,No,0,36 months,Male,20-25,300-500
131,No,0,36 months,Male,20-25,300-500
132,No,0,36 months,Male,20-25,300-500
133,No,0,36 months,Male,20-25,300-500
134,No,0,36 months,Male,20-25,300-500
135,No,0,36 months,Male,20-25,300-500
136,No,0,36 months,Male,20-25,300-500
137,No,0,36 months,Male,20-25,300-500
138,No,0,36 months,Male,20-25,300-500
139,No,0,36 months,Male,20-25,300-500
140,No,0,36 months,Male,20-25,300-500
141,No,0,36 months,Male,20-25,300-500
142,No,0,36 months,Male,20-25,300-500
143,No,0,36 months,Male,20-25,300-500
144,No,0,36 months,Male,20-25,300-500
145,No,0,36 months,Male,20-25,300-500
146,No,0,36 months,Male,20-25,300-500
147,No,0,36 months,Male,20-25,300-500
148,No,0,36 months,Male,20-25,300-500
149,No,0,36 months,Male,20-25,300-500
150,No,0,36 months,Male,20-25,300-500
151,No,0,36 months,Male,20-25,300-500
152,No,0,36 months,Male,20-25,300-500
153,No,0,36 months,Male,20-25,300-500
154,No,0,36 months,Male,20-25,300-500
155,No,0,36 months,Male,20-25,300-500
156,No,0,36 months,Male,20-25,300-500
157,No,0,36 months,Male,20-25,300-500
158,No,0,36 months,Male,20-25,300-500
159,No,0,36 months,Male,20-25,300-500
160,No,0,36 months,Male,20-25,300-500
161,No,0,36 months,Male,20-25,300-500
162,No,0,36 months,Male,20-25,300-500
163,No,0,36 months,Male,20-25,300-500
164,No,0,36 months,Male,20-25,300-500
165,No,0,36 months,Male,20-25,300-500
166,No,0,36 months,Male,20-25,300-500
167,No,0,36 months,Male,20-25,300-500
168,No,0,36 months,Male,20-25,300-500
169,No,0,36 months,Male,20-25,300-500
170,No,0,36 months,Male,20-25,300-500
171,No,0,36 months,Male,20-25,300-500
172,No,0,36 months,Male,20-25,300-500
173,No,0,36 months,Male,20-25,300-500
174,No,0,36 months,Male,20-25,300-500
175,No,0,36 months,Male,20-25,300-500
176,No,0,36 months,Male,20-25,300-500
177,No,0,36 months,Male,20-25,300-500
178,No,0,36 months,Male,20-25,300-500
179,No,0,36 months,Male,20-25,300-500
180,No,0,36 months,Male,20-25,300-500
181,No,0,36 months,Male,20-25,300-500
182,No,0,36 months,Male,20-25,300-500
183,No,0,36 months,Male,20-25,300-500
184,No,0,36 months,Male,20-25,300-500
185,No,0,36 months,Male,20-25,300-500
186,No,0,36 months,Male,20-25,300-500
187,No,0,36 months,Male,20-25,300-500
188,No,0,36 months,Male,20-25,300-500
189,No,0,36 months,Male,20-25,300-500
190,No,0,36 months,Male,20-25,300-500
191,No,0,36 months,Male,20-25,300-500
192,No,0,36 months,Male,20-25,300-500
193,No,0,36 months,Male,20-25,300-500
194,No,0,36 months,Male,20-25,300-500
195,No,0,36 months,Male,20-25,300-500
196,No,0,36 months,Male,20-25,300-500
197,No,0,36 months,Male,20-25,300-500
198,No,0,36 months,Male,20-25,300-500
199,No,0,36 months,Male,20-25,300-500
200,No,0,36 months,Male,20-25,300-500
201,No,0,36 months,Male,20-25,300-500
202,No,0,36 months,Male,20-25,300-500
203,No,0,36 months,Male,20-25,300-500
204,No,0,36 months,Male,20-25,300-500
205,No,0,36 months,Male,20-25,300-500
206,No,0,36 months,Male,20-25,300-500
207,No,0,36 months,Male,20-25,300-500
208,No,0,36 months,Male,20-25,300-500
209,No,0,36 months,Male,20-25,300-500
210,No,0,36 months,Male,20-25,300-500
211,No,0,36 months,Male,20-25,300-500
212,No,0,36 months,Male,20-25,300-500
